name,url,bedrooms,bathrooms,floors,land_area,building_area,longitude,latitude,price
Rumah Sewa Siap Huni Taman Kopo Indah 1 dekat Tol Kopo Jalan Besar,https://www.lamudi.co.id/rumah-sewa-siap-huni-taman-kopo-indah-1-dekat-tol-169958216940.html,2.0,2.0,1.0,135.0,92.0,107.56484,-6.96736,35000000.0
Sewa Rumah Bandung Andaru,https://www.lamudi.co.id/sewa-rumah-bandung-andaru-170356728824.html,2.0,1.0,1.0,60.0,55.0,107.68742253065,-6.9388509364356,25000000.0
DISEWAKAN RUMAH SIAP HUNI FURNISHED TERUSAN BUAH BATU BANDUNG,https://www.lamudi.co.id/disewakan-rumah-siap-huni-furnished-terusan-buah-b-16938872774.html,4.0,3.0,1.0,210.0,150.0,107.6212817,-6.9548746,60000000.0
Disewakan Rumah 1 Lantai Dalam Komplek TKI Taman Kopo Indah 3 Bandung ,https://www.lamudi.co.id/disewakan-rumah-1-lantai-dalam-komplek-tki-taman-k-169102747823.html,2.0,2.0,1.0,153.0,120.0,106.904854,-6.653733,50000000.0
For Rent Rumah Minimalis di Ciganitri Bojongsoang,https://www.lamudi.co.id/for-rent-rumah-minimalis-di-ciganitri-bojongsoang-16930131581.html,4.0,2.0,1.0,93.0,72.0,107.63361,-6.98056,43000000.0
Rumah Di Babakan Jeruk,https://www.lamudi.co.id/rumah-di-babakan-jeruk-169783019999.html,3.0,3.0,1.0,300.0,180.0,108.251589,-6.387806,100000000.0
Disewakan Rumah Siap Huni di Sayap Sutami Bandung,https://www.lamudi.co.id/disewakan-rumah-siap-huni-di-sayap-sutami-bandung-16969325316.html,5.0,4.0,1.0,216.0,300.0,107.58667,-6.89833,80000000.0
Disewakan Rumah Modern 2 Lantai di Gateway Pasteur Residence,https://www.lamudi.co.id/disewakan-rumah-modern-2-lantai-di-gateway-pasteur-169208483582.html,3.0,2.0,2.0,96.0,80.0,107.607608,-6.890485,90000000.0
Disewa Rumah Terawat Nyaman Lokasi Bagus di De Sangkanhurip Katapang,https://www.lamudi.co.id/disewa-rumah-terawat-nyaman-lokasi-bagus-di-de-san-169422133449.html,2.0,1.0,1.0,72.0,36.0,107.55333,-6.99917,23000000.0
"Disewakan rumah Minimalis Modern Di Cherry Field Ciganitri,,Bdg.",https://www.lamudi.co.id/disewakan-rumah-minimalis-modern-di-cherry-field-c-169693133332.html,3.0,2.0,1.0,72.0,78.0,107.63361,-6.98056,55000000.0
"Dikontrakan rumah minimalis, aman & nyaman di perumahan  Chery  field",https://www.lamudi.co.id/dikontrakan-rumah-minimalis-aman-nyaman-di-perumah-169753354211.html,2.0,1.0,1.0,100.0,50.0,107.63361,-6.98056,34000000.0
Di sewakan rumah indah Di cigadung awiligar ,https://www.lamudi.co.id/di-sewakan-rumah-indah-di-cigadung-awiligar-170002181895.html,3.0,2.0,1.0,176.0,132.0,107.62472,-6.88056,70000000.0
Disewakan rumah siap huni di komplek Pratista.,https://www.lamudi.co.id/disewakan-rumah-siap-huni-di-komplek-pratista-169626590438.html,4.0,2.0,1.0,198.0,150.0,107.66194,-6.92306,55000000.0
Rumah disewakan 2 lantai di komplek Puri Dago,https://www.lamudi.co.id/rumah-disewakan-2-lantai-di-komplek-puri-dago-169626629258.html,4.0,3.0,1.0,114.0,131.0,107.66194,-6.92306,55000000.0
Disewakan Rumah Siap Pakai di Dago Lokasi Dekat Sheraton Hotel,https://www.lamudi.co.id/disewakan-rumah-siap-pakai-di-dago-lokasi-dekat-sh-17007238806.html,5.0,5.0,1.0,177.0,200.0,107.770011,-7.265489,145000000.0
Disewakan Rumah Siap Huni di Taman kopo Indah 3,https://www.lamudi.co.id/disewakan-rumah-siap-huni-di-taman-kopo-indah-3-169283303610.html,2.0,1.0,1.0,133.0,100.0,107.55639,-6.96944,32500000.0
Dikontrakan rumah 2 Lt di perumahan  Chery  field,https://www.lamudi.co.id/dikontrakan-rumah-2-lt-di-perumahan-chery-field-169693135143.html,3.0,2.0,1.0,72.0,78.0,107.63361,-6.98056,55000000.0
Disewakan Rumah di Gedung Sembilan Paskal Dekat Hotel Hilton,https://www.lamudi.co.id/disewakan-rumah-di-gedung-sembilan-paskal-dekat-ho-17007188711.html,6.0,1.0,1.0,372.0,250.0,107.59716,-6.91328,100000000.0
"Rumah Baru Minimalis Modern di Gateway Pasteur Residence, Bandung",https://www.lamudi.co.id/rumah-baru-minimalis-modern-di-gateway-pasteur-res-170110390017.html,2.0,2.0,1.0,70.0,140.0,107.607608,-6.890485,70000000.0
Sewa Rumah Nyaman dan Adem Komp Batu Mas,https://www.lamudi.co.id/sewa-rumah-nyaman-dan-adem-komp-batu-mas-169404741449.html,5.0,5.0,1.0,160.0,160.0,108.38886,-7.365351,55000000.0
"Disewakan Rumah di Jl. Cikutra Baru, Bandung",https://www.lamudi.co.id/disewakan-rumah-di-jl-cikutra-baru-bandung-16938999797.html,10.0,6.0,2.0,270.0,532.0,107.63797,-6.89556,160000000.0
Disewakan rumah di Komplek Kopo Sari dekat tol Kopo,https://www.lamudi.co.id/disewakan-rumah-di-komplek-kopo-sari-dekat-tol-kop-169511307858.html,4.0,3.0,1.0,250.0,,106.904854,-6.653733,55000000.0
Disewakan di Sayap Merdeka Dekat Balaikota Santa Angela Harga Nego,https://www.lamudi.co.id/disewakan-di-sayap-merdeka-dekat-balaikota-santa-a-169873818915.html,7.0,5.0,1.0,725.0,750.0,1.0,1.0,600000000.0
Sewa Rumah SUMARECON Bandung,https://www.lamudi.co.id/sewa-rumah-sumarecon-bandung-16961463797.html,3.0,2.0,1.0,,,107.687404,-6.948904,55000000.0
Rumah 2 lantai 3 kamar tidur simakirana kbp ,https://www.lamudi.co.id/rumah-2-lantai-3-kamar-tidur-simakirana-kbp-169693397670.html,3.0,2.0,1.0,120.0,90.0,107.467209,-6.844347,70000000.0
DISEWAKAN RUMAH MINIMALIS KOPO SAFIRA 5 MENIT TOL KOPO,https://www.lamudi.co.id/disewakan-rumah-minimalis-kopo-safira-5-menit-tol-16932898269.html,2.0,1.0,1.0,84.0,50.0,106.904854,-6.653733,35000000.0
Disewakan Rumah Furnished Komplek di Ciganitri Terusan Buah Batu,https://www.lamudi.co.id/disewakan-rumah-furnished-komplek-di-ciganitri-ter-169390404832.html,4.0,3.0,1.0,210.0,150.0,107.341733,-6.284746,60000000.0
